episode,reward,steps,avg_waiting_time,throughput
0,49.903999999999876,180,0.0,274
1,49.903999999999876,180,0.0,274
2,49.903999999999876,180,0.0,274
3,49.903999999999876,180,0.0,274
4,49.903999999999876,180,0.0,274
