train/loss,train/explained_variance,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_range,rollout/ep_len_mean,train/n_updates,train/approx_kl,episode/mean_reward_10,train/clip_fraction,time/total_timesteps,episode/reward,time/time_elapsed,train/learning_rate,time/fps,rollout/ep_rew_mean,evaluation/improvement_vs_baseline,train/value_loss,eval/reward_improvement_pct,eval/waiting_improvement_pct,eval/best_mean_reward,eval/mean_reward,eval/rl_avg_waiting,eval/mean_ep_length,eval/rl_reward,eval/throughput_improvement_pct,eval/rl_avg_throughput
-0.041171442717313766,0.9998925924301147,130,-0.8221635520458221,-0.005555505194934085,0.2,80.0,1032,0.007895751,62.6115873,0.039306640625,66560,62.444444,27896,0.0005,2,62.43758726,38.73557962507039,0.014725087865372188,,,,,,,,,
-0.0023845937103033066,0.9999378323554993,,-0.6897597815841436,-0.0008900242683012038,0.2,,1088,0.027333952,62.74158739999999,0.042724609375,70000,62.730159,,0.0005,,,39.02363555852564,0.019712743542186217,4.26456105796293,0,,63.001587,0.0,80.0,47.05476190476192,0,0.0
-0.046904563903808594,0.9998840093612671,140,-1.0941124884411693,-0.006436269381083548,0.2,80.0,1112,0.018476289,62.440158600000004,0.143310546875,71680,62.415873,30115,0.0005,2,62.634158729999996,38.355725654192526,0.023198244423838332,,,,,,,,,
-0.03973964974284172,0.9997677206993103,150,-1.0052161421626806,-0.003129442506178748,0.2,80.0,1192,0.004276678,62.43587290000001,0.0107421875,76800,62.144444,32213,0.0005,2,62.451301599999994,38.34622934369732,0.06006064807297662,,,,,,,,,
-0.057777825742959976,0.9997414946556091,,-0.9329022066667676,-0.00043805620225612074,0.2,,1248,0.0038938106,62.5844445,0.029052734375,80000,62.501587,,0.0005,,,38.675436251406914,0.05707372582401149,4.169597636466038,0,,62.95873,0.0,80.0,47.01190476190478,0,0.0
-0.05382196977734566,0.9997751712799072,160,-0.9008451104164124,-0.005742264707805589,0.2,80.0,1272,0.0039819507,62.4315872,0.0205078125,81920,62.373016,34430,0.0005,2,62.41373014999999,38.33673303320209,0.05798136745579541,,,,,,,,,
-0.028828918933868408,0.9997885823249817,170,-0.6830313904210925,0.00022295188682619482,0.2,80.0,1352,0.0087707825,62.730158800000005,0.03076171875,87040,62.75873,36528,0.0005,2,62.615873009999994,38.99831191615088,0.04031343659880804,,,,,,,,,
-0.04824671521782875,0.9998444318771362,,-0.6502739200368524,-0.0103616870183032,0.2,,1400,0.007946882,62.694444399999995,0.09033203125,90000,62.744444,,0.0005,,,38.91917547833432,0.025934032702934928,4.169597636466038,0,,62.95873,0.0,80.0,47.01190476190478,0,0.0
-0.05978233367204666,0.9998449683189392,180,-0.9055966502055526,-0.0004649585607694462,0.2,80.0,1432,0.0047345906,62.584444399999995,0.05126953125,92160,62.544444,38744,0.0005,2,62.69215873,38.67543602982559,0.030827786511508748,,,,,,,,,
-0.05915472283959389,0.9998523592948914,190,-0.9223615285009146,-0.0104534232232254,0.2,80.0,1512,0.006223389,62.571587399999984,0.081298828125,97280,62.401587,40844,0.0005,2,62.540872990000004,38.64694731992124,0.014426264715439174,,,,,,,,,
